Category#Favorite#Unnamed: 2#Link
Book#Adjustment Day##https://en.wikipedia.org/wiki/Adjustment_Day
Book#The Penultimate Truth##https://en.wikipedia.org/wiki/The_Penultimate_Truth
Book#The Weapon Shops of Isher##https://en.wikipedia.org/wiki/The_Weapon_Shops_of_Isher
Book#Schroedinger's Cat##https://en.wikipedia.org/wiki/Schr%C3%B6dinger%27s_Cat_Trilogy
Book#Mr. Penumbra's 24-Hour Bookstore##https://en.wikipedia.org/wiki/Mr._Penumbra%27s_24-Hour_Bookstore
Book#Spider Kiss##https://en.wikipedia.org/wiki/Spider_Kiss
Book#Dune##https://en.wikipedia.org/wiki/Dune_(novel)
Book#A Canticle for Leibowitz##https://en.wikipedia.org/wiki/A_Canticle_for_Leibowitz
Book#The Embedding##https://en.wikipedia.org/wiki/The_Embedding
Book#The Last Picture Show##https://en.wikipedia.org/wiki/The_Last_Picture_Show
Book#Hum##https://www.goodreads.com/book/show/195791689-hum
Book#Klara and the Sun##https://en.wikipedia.org/wiki/Klara_and_the_Sun
Book#Language, Truth, and Logic##https://en.wikipedia.org/wiki/Language,_Truth_and_Logic
Book#First Circle (Solzhenitsyn)##https://en.wikipedia.org/wiki/In_the_First_Circle
Book#Instead of a Book##https://en.wikipedia.org/wiki/Instead_of_a_Book,_by_a_Man_Too_Busy_to_Write_One
Book#Godel, Escher, Bach##https://en.wikipedia.org/wiki/G%C3%B6del,_Escher,_Bach
Book#The Right Side of the Brain##https://en.wikipedia.org/wiki/The_New_Drawing_on_the_Right_Side_of_the_Brain
Author#Philip K. Dick##https://en.wikipedia.org/wiki/Philip_K._Dick
Author#Haruki Murakami##https://en.wikipedia.org/wiki/Haruki_Murakami
Author#Don DeLillo##https://en.wikipedia.org/wiki/Don_DeLillo
Author#William Gibson##https://en.wikipedia.org/wiki/William_Gibson
Author#Lucius Shepard##https://en.wikipedia.org/wiki/Lucius_Shepard
Book#Roger Zelazny's Amber (1-5)##https://en.wikipedia.org/wiki/The_Chronicles_of_Amber
Author#Michael Ondaatje##https://en.wikipedia.org/wiki/Michael_Ondaatje
Author#Elif Batuman##https://en.wikipedia.org/wiki/Elif_Batuman
Author#Gary Shteyngart##https://en.wikipedia.org/wiki/Gary_Shteyngart
Author#Walter Tevis##https://en.wikipedia.org/wiki/Walter_Tevis
Author#Jim Thompson##https://en.wikipedia.org/wiki/Jim_Thompson_(writer)
Author#Jack Womack##https://en.wikipedia.org/wiki/Jack_Womack
Author#J.D. Salinger##https://en.wikipedia.org/wiki/J._D._Salinger
Author#Lysander Spooner##https://en.wikipedia.org/wiki/Lysander_Spooner
Movie#Blade Runner (1982)##https://en.wikipedia.org/wiki/Blade_Runner
Movie#12 Monkeys##https://en.wikipedia.org/wiki/12_Monkeys
Movie#Brazil##https://en.wikipedia.org/wiki/Brazil_(1985_film)
Movie#Forbidden Planet##https://en.wikipedia.org/wiki/Forbidden_Planet
Movie#Planet of the Apes (original series)##https://en.wikipedia.org/wiki/Planet_of_the_Apes_(franchise)
Movie#Five Easy Pieces##https://en.wikipedia.org/wiki/Five_Easy_Pieces
Movie#Apocalypse Now##https://en.wikipedia.org/wiki/Apocalypse_Now
Movie#2001: A Space Odyssey##https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey_(film)
Movie#The Lion in Winter##https://en.wikipedia.org/wiki/The_Lion_in_Winter_(1968_film)
Movie#Once Upon a Time in Hollywood##https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood
Movie#Scarface##https://en.wikipedia.org/wiki/Scarface_(1983_film)
Movie#No Way Out##https://en.wikipedia.org/wiki/No_Way_Out_(1987_film)
Movie#Goodfellas##https://en.wikipedia.org/wiki/Goodfellas
Movie#To Live and Die in L.A.##https://en.wikipedia.org/wiki/To_Live_and_Die_in_L.A._(film)
Movie#The Grifters##https://en.wikipedia.org/wiki/The_Grifters_(film)
Movie#Full Metal Jacket##https://en.wikipedia.org/wiki/Full_Metal_Jacket
Movie#Tora! Tora! Tora!##https://en.wikipedia.org/wiki/Tora!_Tora!_Tora!
Movie#Fargo##https://en.wikipedia.org/wiki/Fargo_(film)
Movie#Mulholland Drive##https://en.wikipedia.org/wiki/Mulholland_Drive_(film)
Movie#The Color of Money##https://en.wikipedia.org/wiki/The_Color_of_Money_(film)
Movie#The Player##https://en.wikipedia.org/wiki/The_Player_(1992_film)
Movie#Bulworth##https://en.wikipedia.org/wiki/Bulworth
Movie#Thelma & Louise##https://en.wikipedia.org/wiki/Thelma_%26_Louise
Movie#Pulp Fiction##https://en.wikipedia.org/wiki/Pulp_Fiction
Movie#Reservoir Dogs##https://en.wikipedia.org/wiki/Reservoir_Dogs
Movie#Slacker##https://en.wikipedia.org/wiki/Slacker_(film)
Movie#Ex Machina##https://en.wikipedia.org/wiki/Ex_Machina_(film)
Director#Jim Jarmusch##https://en.wikipedia.org/wiki/Jim_Jarmusch
Movie#Richard Linklater##https://en.wikipedia.org/wiki/Richard_Linklater
TV Series#The Prisoner##https://en.wikipedia.org/wiki/The_Prisoner_(1967_TV_series)
Politician#Thomas Jefferson##https://en.wikipedia.org/wiki/Thomas_Jefferson
Song#Sexy Sadie##https://en.wikipedia.org/wiki/Sexy_Sadie
Song#Live and Let Die##https://en.wikipedia.org/wiki/Live_and_Let_Die_(song)
Musician/Band#John Lennon##https://en.wikipedia.org/wiki/John_Lennon
Musician/Band#Bob Dylan##https://en.wikipedia.org/wiki/Bob_Dylan
Musician/Band#Pixies##https://en.wikipedia.org/wiki/Pixies_(band)
Musician/Band#Janelle Monae##https://en.wikipedia.org/wiki/Janelle_Mon%C3%A1e
Musician/Band#Warren Zevon##https://en.wikipedia.org/wiki/Warren_Zevon
Topic#Surfing##https://en.wikipedia.org/wiki/Surfing
Topic#Number theory##https://en.wikipedia.org/wiki/Number_theory
Topic#Blockchain##https://en.wikipedia.org/wiki/Blockchain
Topic#Chinese brush painting##https://en.wikipedia.org/wiki/Chinese_painting
Topic#Chinese classical poetry##https://en.wikipedia.org/wiki/Classical_Chinese_poetry
Topic#Computational complexity##https://en.wikipedia.org/wiki/Computational_complexity_theory
Topic#Conway's Game of Life##https://en.wikipedia.org/wiki/Conway%27s_Game_of_Life
Topic#Automata theory##https://en.wikipedia.org/wiki/Automata_theory
Topic#Historical cryptology##https://en.wikipedia.org/wiki/Cryptanalysis
###
Topic#Voynich manuscript##https://en.wikipedia.org/wiki/Voynich_manuscript
Topic#Integer linear programming##https://en.wikipedia.org/wiki/Integer_linear_programming
Scientist#John von Neumann##https://en.wikipedia.org/wiki/John_von_Neumann
Scientist#Edward O. Thorp##https://en.wikipedia.org/wiki/Edward_O._Thorp
Scientist#Paul Erdos##https://en.wikipedia.org/wiki/Paul_Erd%C5%91s
Historian#Richard Pipes##https://en.wikipedia.org/wiki/Richard_Pipes
Author#Mary Fleener: Life of the Party##https://en.wikipedia.org/wiki/Mary_Fleener
Graphic Novel#Watchmen##https://en.wikipedia.org/wiki/Watchmen
Graphic Novel#V for Vendetta##https://en.wikipedia.org/wiki/V_for_Vendetta
Graphic Novel#Superman: Red Son##https://en.wikipedia.org/wiki/Superman:_Red_Son
Book#Timescape by Gregory Benford##https://en.wikipedia.org/wiki/Timescape
Book#Tao Te Ching##https://en.wikipedia.org/wiki/Tao_Te_Ching
Book#The Book of Chuang-Tzu##https://en.wikipedia.org/wiki/Zhuangzi_(book)
Movie#Enemy (movie)##https://en.wikipedia.org/wiki/Enemy_(2013_film)
Actor#Jake Gyllenhaal##https://en.wikipedia.org/wiki/Jake_Gyllenhaal
Topic#Didi ride hailing##https://en.wikipedia.org/wiki/DiDi
